customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_no phone service,MultipleLines_yes,InternetService_fiber optic,InternetService_no,OnlineSecurity_no internet service,OnlineSecurity_yes,OnlineBackup_no internet service,OnlineBackup_yes,DeviceProtection_no internet service,DeviceProtection_yes,TechSupport_no internet service,TechSupport_yes,StreamingTV_no internet service,StreamingTV_yes,StreamingMovies_no internet service,StreamingMovies_yes,Contract_one year,Contract_two year,PaymentMethod_credit card (automatic),PaymentMethod_electronic check,PaymentMethod_mailed check
7590-vhveg,1,0.0,1,0,1.0,0,1,29.85,29.85,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5575-gnvde,1,0.0,0,0,34.0,1,0,70.35,1889.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
3668-qpybk,1,0.0,0,0,2.0,1,1,53.85,0.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7795-cfocw,1,0.0,0,0,-5.0,0,0,42.3,1840.75,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
9237-hqitu,0,0.0,0,0,2.0,1,1,70.35,151.65,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9305-cdskc,0,0.0,0,0,8.0,1,1,99.65,820.5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
1452-kiovk,1,0.0,0,1,22.0,1,1,89.1,1949.4,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
7892-pookp,0,0.0,1,0,28.0,1,1,104.8,3046.05,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
6388-tabgu,1,0.0,0,1,62.0,1,0,56.15,3487.95,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
9763-grskd,1,0.0,1,1,13.0,1,1,49.95,587.45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7469-lkbci,1,0.0,0,0,16.0,1,0,18.95,326.8,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
8091-ttvax,1,0.0,1,0,58.0,1,0,100.35,5681.1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0
0280-xjgex,1,0.0,0,0,49.0,1,1,103.7,5036.3,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
5129-jlpis,1,0.0,0,0,25.0,1,1,105.5,2686.05,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
3655-snqyz,0,0.0,1,1,69.0,1,0,113.25,7895.15,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
8191-xwszg,0,0.0,0,0,52.0,1,0,20.65,1022.95,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
9959-wofkt,1,0.0,0,1,29.0,1,0,106.7,7382.25,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
4190-mfluw,0,0.0,1,1,10.0,1,0,55.2,528.35,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
4183-myfrb,0,0.0,0,0,21.0,1,1,90.05,1862.9,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
8779-qrdmv,1,1.0,0,0,1.0,0,1,39.65,39.65,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1680-vdcww,1,0.0,1,0,12.0,1,0,19.8,202.25,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
1066-jksgk,1,0.0,0,0,1.0,1,0,20.15,20.15,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
3638-weabw,0,0.0,1,0,58.0,1,1,59.9,3505.1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
6322-hrpfa,1,0.0,1,1,49.0,1,0,59.6,2970.3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
6865-jznko,0,0.0,0,0,30.0,1,1,55.3,1530.6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6467-chfzw,1,0.0,1,1,47.0,1,1,99.35,4749.15,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
8665-utdhz,1,0.0,1,1,1.0,0,0,30.2,30.2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5248-ygijn,1,0.0,1,0,72.0,1,1,90.25,6369.45,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
8773-hhuoz,0,0.0,0,1,17.0,1,1,64.7,1093.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
3841-nfecx,0,1.0,1,0,71.0,1,1,96.35,6766.95,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
4929-xihvw,1,1.0,1,0,2.0,1,1,95.5,181.65,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
6827-ieauq,0,0.0,1,1,27.0,1,0,66.15,1874.45,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1
7310-egvhz,1,0.0,0,0,1.0,1,0,20.2,20.2,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
3413-bmnze,1,1.0,0,0,1.0,1,0,45.25,45.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6234-raapl,0,0.0,1,1,72.0,1,0,99.9,7251.7,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
6047-yhpvi,1,0.0,0,0,5.0,1,1,69.7,316.9,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6572-adkrs,0,0.0,0,0,46.0,1,1,74.8,3548.3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5380-wjkov,1,0.0,0,0,34.0,1,1,106.35,3549.25,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
8168-uqwwf,0,0.0,0,0,11.0,1,1,97.85,1105.4,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
8865-tnmnx,1,0.0,1,1,10.0,1,0,49.55,475.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
9489-dedvp,0,0.0,1,1,70.0,1,1,69.2,4872.35,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
9867-jczsp,0,0.0,1,1,17.0,1,0,20.75,418.25,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
4671-vjlcl,0,0.0,0,0,63.0,1,1,79.85,4861.45,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0
4080-iiard,0,0.0,1,0,13.0,1,1,76.2,981.45,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
3714-ntnfo,0,0.0,0,0,49.0,1,1,84.5,3906.7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
5948-ujzlf,1,0.0,0,0,2.0,1,0,49.25,97.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7760-oypdy,0,0.0,0,0,2.0,1,1,80.65,144.15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
7639-liayi,1,0.0,0,0,52.0,1,1,79.75,4217.8,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0
2954-pibko,0,0.0,1,1,69.0,1,1,64.15,4254.1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
8012-soudq,0,1.0,0,0,43.0,1,1,90.25,3838.75,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
9420-lojkx,0,0.0,0,0,15.0,1,1,99.1,1426.4,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
6575-suvoi,0,1.0,1,0,25.0,1,1,69.5,1752.65,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
7495-ookfy,0,1.0,1,0,8.0,1,1,80.65,633.3,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4667-qonea,0,1.0,1,1,60.0,1,1,74.85,4456.35,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0
1658-bygoy,1,1.0,0,0,18.0,1,1,95.45,1752.55,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
8769-kktph,0,0.0,1,1,63.0,1,1,99.65,6311.2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
5067-xjqfu,1,1.0,1,1,66.0,1,1,108.45,7076.35,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0
3957-sqxml,0,0.0,1,1,34.0,1,0,24.95,894.3,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
5954-bdfsg,0,0.0,0,0,72.0,1,1,107.5,7853.7,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
0434-csfon,0,0.0,1,0,47.0,1,1,100.5,4707.1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
1215-figmp,1,0.0,0,0,60.0,1,1,89.9,5450.7,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0526-sxdjp,1,0.0,1,0,72.0,0,0,42.1,2962.0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
0557-askvu,0,0.0,1,1,18.0,1,1,54.4,957.1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
5698-bqjoh,0,0.0,0,0,9.0,1,0,94.4,857.25,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
5122-cyfxa,0,0.0,0,0,3.0,1,1,75.3,244.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
8627-zygsz,1,0.0,1,0,47.0,1,1,78.9,3650.35,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
3410-yoqbq,0,0.0,0,0,31.0,1,0,79.2,2497.2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
3170-nmyvv,0,0.0,1,1,50.0,1,0,20.15,930.9,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
7410-oiedu,1,0.0,0,0,10.0,1,1,79.85,887.35,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2273-qckxa,1,0.0,0,0,1.0,1,0,49.05,49.05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0731-ebjqb,0,0.0,1,1,52.0,1,1,20.4,1090.65,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
1891-qrqsa,1,1.0,1,1,64.0,1,1,111.6,7099.0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0
8028-pnxhq,1,0.0,1,1,62.0,1,1,24.25,1424.6,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
5630-ahzil,0,0.0,0,1,3.0,1,1,64.5,177.4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2673-cxqeu,0,1.0,0,0,56.0,1,0,110.5,6139.5,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0
6416-jnvrk,0,0.0,0,0,46.0,1,0,55.65,2688.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
5590-zskrv,0,0.0,1,1,8.0,1,0,54.65,482.25,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0191-zhskz,1,1.0,0,0,30.0,1,1,74.75,2111.3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
3887-pbqao,0,0.0,1,1,45.0,1,1,25.9,1216.6,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
5919-tmrgd,0,0.0,0,1,1.0,1,1,79.35,79.35,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
8108-uxrqn,0,0.0,1,1,11.0,0,0,50.55,565.35,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
9191-myqkx,0,0.0,1,0,7.0,1,1,75.15,496.9,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9919-ylnng,0,0.0,0,0,42.0,1,1,103.8,4327.5,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
0318-zopws,0,0.0,1,0,49.0,1,1,20.15,973.35,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
4445-zjnmu,1,0.0,0,0,9.0,1,1,99.3,918.75,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
4808-ynleu,0,0.0,1,0,35.0,1,1,62.15,2215.45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1862-qrwpe,0,0.0,1,1,48.0,1,0,20.65,1057.0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
2796-nnufi,0,0.0,1,1,46.0,1,1,19.95,927.1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
3016-ksvcp,1,0.0,1,0,29.0,0,0,33.75,1009.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4767-hzzhq,1,0.0,1,1,30.0,1,0,82.05,2570.2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2424-wvhpl,1,1.0,0,0,1.0,1,0,74.7,74.7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
7233-pahhl,1,0.0,1,1,66.0,1,1,84.0,5714.25,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1
6067-ngceu,0,0.0,0,0,65.0,1,1,111.05,7107.0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
9848-jqjtx,1,0.0,0,0,72.0,1,1,100.9,7459.05,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0
8637-xjivr,0,0.0,0,0,12.0,1,1,78.95,927.35,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9803-ftjcg,1,0.0,1,1,71.0,1,1,66.85,4748.7,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
0278-yxoog,1,0.0,0,0,5.0,1,0,21.05,113.85,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
3212-kxocr,1,0.0,0,0,52.0,1,0,21.0,1107.2,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
4598-xlknj,0,1.0,1,0,25.0,1,1,98.5,2514.5,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
6380-arceh,1,0.0,0,0,1.0,1,0,20.2,20.2,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
3679-xaspy,0,0.0,1,1,1.0,1,0,19.45,19.45,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
7123-wquhx,1,0.0,0,0,38.0,1,0,95.0,3605.6,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
5386-thslq,0,1.0,1,0,66.0,0,0,45.55,3027.25,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
3192-nqeca,1,0.0,1,0,68.0,1,1,110.0,7611.85,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
6180-ybiqi,1,0.0,0,0,5.0,0,0,24.3,100.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6728-dkuco,0,0.0,1,1,72.0,1,1,104.15,7303.05,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0
9750-boohv,0,0.0,0,0,32.0,0,0,30.15,927.65,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
8597-cwyhh,1,0.0,0,0,43.0,1,0,94.35,3921.3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
2848-yxsmw,1,0.0,1,1,72.0,1,0,19.4,1363.25,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
0486-heczi,1,0.0,1,0,55.0,1,1,96.75,5238.9,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
4549-zdqyy,0,0.0,0,0,52.0,1,0,57.95,3042.25,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
5712-ahqnn,0,0.0,0,0,43.0,1,1,91.65,3954.1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
4846-whafz,0,1.0,1,0,37.0,1,1,76.5,2868.15,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5256-skjgo,0,0.0,1,1,64.0,0,1,54.6,3423.5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0
3071-vbypo,1,0.0,1,1,3.0,1,0,89.85,248.4,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
9560-bbzxk,0,0.0,0,0,36.0,0,0,31.05,1126.35,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5299-ruloa,0,0.0,1,1,10.0,1,1,100.25,1064.65,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
8402-ooohj,0,0.0,0,0,41.0,1,0,20.65,835.15,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
