gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,Churn,MultipleLines_no phone service,MultipleLines_yes,InternetService_fiber optic,InternetService_no,OnlineSecurity_no internet service,OnlineSecurity_yes,OnlineBackup_no internet service,OnlineBackup_yes,DeviceProtection_no internet service,DeviceProtection_yes,TechSupport_no internet service,TechSupport_yes,StreamingTV_no internet service,StreamingTV_yes,StreamingMovies_no internet service,StreamingMovies_yes,Contract_one year,Contract_two year,PaymentMethod_credit card (automatic),PaymentMethod_electronic check,PaymentMethod_mailed check
1,0,1,0,-1.277083417686637,0,1,-1.1602370359598941,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,0.06647669921662078,1,0,0.18569940821680964,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
1,0,0,0,-1.2363694747501746,1,1,-0.3626450690403658,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,-1.5213670753054112,0,0,-0.7464862031203889,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,-1.2363694747501746,1,1,-1.2931690304464822,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,-0.9920858171314004,1,1,1.1594262678310674,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
1,0,0,1,-0.4220906160209275,1,1,0.8088181323726911,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0,1,0,-0.17780695840215335,1,1,1.3305762107325494,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
1,0,0,1,1.2064671014375667,1,0,-0.2862091722105778,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,1,1,-0.7885161024490887,1,1,-0.4922537636647891,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,-0.6663742736397016,1,0,-1.5224767209358465,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
1,0,1,0,1.0436113296917173,1,0,1.18268936686622,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0
1,0,0,0,0.6771858432635561,1,1,1.2940199122487377,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
1,0,0,0,-0.29994878721154045,1,1,1.3538393097677024,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0
0,0,1,1,1.4914647019928033,1,0,1.6113950490854667,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
0,0,0,0,0.7993276720729432,1,0,-1.4659806232790467,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
1,0,0,1,1.572892587865728,1,0,1.3937189081136787,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,-0.9106579312584757,1,0,-0.31778052090114234,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,-0.46280455895738987,1,1,0.8403894810632558,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,1,0,0,-1.277083417686637,0,1,-0.8345536494677535,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,1,0,-0.829230045385551,1,0,-1.4942286721074467,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
1,0,0,0,-1.277083417686637,1,0,-1.4825971225898702,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,1,0,1.0436113296917173,1,1,-0.1615854273794015,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
1,0,1,1,0.6771858432635561,1,0,-0.1715553269658955,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,0,0,-0.09637907252922864,1,1,-0.3144572210389778,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0.5957579573906314,1,1,1.1494563682445729,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
1,0,1,1,-1.277083417686637,0,0,-1.1486054864423176,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,0,1.6136065308021903,1,1,0.8470360807875854,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
0,0,0,1,-0.6256603307032392,1,1,-0.0020670339954957,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
0,1,1,0,1.572892587865728,1,1,1.0497573723796318,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0
1,1,1,0,-1.2363694747501746,1,1,1.0215093235512323,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
0,0,1,1,-0.2185209013386157,1,0,0.04612081400589256,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1
1,0,0,0,-1.277083417686637,1,0,-1.4809354726587878,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0
1,1,0,0,-1.277083417686637,1,0,-0.6484488571865302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1.6136065308021903,1,0,1.1677345174864793,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
1,0,0,0,-1.1142276459407876,1,1,0.16409795911273936,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0.5550440144541691,1,1,0.3335862520831389,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0.06647669921662078,1,1,1.382087358596102,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,-0.8699439883220134,1,1,1.0996068703121025,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1,0,1,1,-0.9106579312584757,1,0,-0.5055469631134482,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
0,0,1,1,1.5321786449292656,1,1,0.14748145980191585,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
0,0,1,1,-0.6256603307032392,1,0,-1.462657323416882,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
0,0,0,0,1.2471810443740292,1,1,0.5014128951224562,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0
0,0,1,0,-0.7885161024490887,1,1,0.3801124501534449,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
0,0,0,0,0.6771858432635561,1,1,0.655946338713115,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,-1.2363694747501746,1,0,-0.5155168626999421,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,-1.2363694747501746,1,1,0.5279992940197742,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,0.7993276720729432,1,1,0.49808959526029173,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0
0,0,1,1,1.4914647019928033,1,1,-0.020345183237401462,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
0,1,0,0,0.432902185644782,1,1,0.8470360807875854,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,-0.7070882165761639,1,1,1.1411481185891612,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
0,1,1,0,-0.29994878721154045,1,1,0.15745135938840987,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
0,1,1,0,-0.9920858171314004,1,1,0.5279992940197742,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,1,1,1.125039215564642,1,1,0.33524790201422117,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0
1,1,0,0,-0.5849463877667769,1,1,1.0198476736201498,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,1,1,1.2471810443740292,1,1,1.1594262678310674,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
1,1,1,1,1.3693228731834162,1,1,1.451876655701561,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0
0,0,1,1,0.06647669921662078,1,0,-1.3230787292059645,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
0,0,0,0,1.6136065308021903,1,1,1.4203053070109963,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0
0,0,1,0,0.5957579573906314,1,1,1.1876743166594672,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
1,0,0,0,1.125039215564642,1,1,0.8354045312700091,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,1,0,1.6136065308021903,0,0,-0.7531328028447182,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
0,0,1,1,-0.5849463877667769,1,1,-0.34436691979846007,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
0,0,0,0,-0.9513718741949381,1,0,0.9849530250674207,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,-1.1956555318137123,1,1,0.35020275139396245,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
1,0,1,0,0.5957579573906314,1,1,0.46984154643189197,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0,0,0,-0.05566512959276629,1,0,0.479811446018386,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
0,0,1,1,0.7178997862000185,1,0,-1.4825971225898702,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
1,0,0,0,-0.9106579312584757,1,1,0.5014128951224562,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,-1.277083417686637,1,0,-0.5221634624242716,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,0,1,1,0.7993276720729432,1,1,-1.4742888729344585,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
1,1,1,1,1.2878949873104915,1,1,1.5565606013597488,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0
1,0,1,1,1.2064671014375667,1,1,-1.3463418282411175,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,0,0,1,-1.1956555318137123,1,1,-0.008713633719825196,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,1,0,0,0.9621834438187926,1,0,1.5200043028759374,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0
0,0,0,0,0.5550440144541691,1,0,-0.3028256715214013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
0,0,1,1,-0.9920858171314004,1,0,-0.3360586701430483,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,-0.09637907252922864,1,1,0.33192460215205666,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,1,1,0.5143300715177067,1,1,-1.2915073805153998,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
0,0,0,1,-1.277083417686637,1,1,0.48479639581163275,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0,1,1,-0.8699439883220134,0,0,-0.47231396449180113,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0,1,0,-1.032799760067863,1,1,0.3452178016007157,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.39218824270831965,1,1,1.2973432121109023,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
0,0,1,0,0.6771858432635561,1,1,-1.4825971225898702,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
1,0,0,0,-0.9513718741949381,1,1,1.1477947183134907,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
0,0,1,0,0.10719064215308315,1,1,-0.08681118048069572,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,1,1,0.6364719003270938,1,0,-1.4659806232790467,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,0,1,1,0.5550440144541691,1,1,-1.4892437223141994,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
1,0,1,0,-0.137093015465691,0,0,-1.0306283413354709,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,1,1,-0.09637907252922864,1,0,0.5745254920900797,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,-1.277083417686637,1,0,0.3302629522209744,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0,1,1,1.3693228731834162,1,1,0.6393298394022915,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1
0,0,0,0,1.328608930246954,1,1,1.538282452117843,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
1,0,0,0,1.6136065308021903,1,1,1.2009675161081261,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0
0,0,0,0,-0.829230045385551,1,1,0.4715031963629742,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,1,1.572892587865728,1,1,0.06938391304104509,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
1,0,0,0,-1.1142276459407876,1,0,-1.452687423830388,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
1,0,0,0,0.7993276720729432,1,0,-1.4543490737614702,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
0,1,1,0,-0.29994878721154045,1,1,1.1212083194161733,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
